PMID	DOI	Title	Year	PublicationTypes
2568202	NA	Comparative effects of labetalol and bromazepam on ambulatory blood pressure of Nigerians with labile and stress hypertension.	1989	Clinical Trial
2533896	NA	Clinical studies with ondansetron in the control of radiation-induced emesis.	1989	Clinical Trial
2472530	NA	Intravenous dilevalol in the treatment of severe hypertension.	1989	Journal Article
2589069	NA	Dynamic changes following combined treatment with gentamicin and ethacrynic acid with and without acoustic stimulation. Cellular uptake and functional correlates.	1989	Journal Article
2500138	NA	Prevention of alcohol withdrawal seizures with carbamazepine and valproic acid.	1989	Clinical Trial
2547410	NA	Metabolic effects of low-dose fluconazole in healthy female users and non-users of oral contraceptives.	1989	Clinical Trial
2527483	NA	Evaluation of teicoplanin for treatment of endocarditis caused by gram-positive cocci in 20 patients.	1989	Journal Article
2605127	NA	Desferrioxamine ototoxicity: evaluation of risk factors in thalassaemic patients and guidelines for safe dosage.	1989	Journal Article
2487803	NA	Calcium-channel blockade (nitrendipine) in combination with ACE inhibition (captopril) in the treatment of mild to moderate hypertension.	1989	Clinical Trial
2483568	NA	Epidemiologic aspects of elderly hypertensive patients and the results of treatment with nitrendipine.	1989	Journal Article
2475686	NA	Efficacy and safety of verapamil SR 240 mg in essential hypertension: results of a multicentric phase IV study.	1989	Clinical Trial
2474102	NA	Pharmacokinetic and pharmacodynamic properties of ramipril in patients with congestive heart failure (NYHA III-IV).	1989	Journal Article
2620478	NA	Leukoencephalopathy after cisplatin therapy.	1989	Case Reports
2670034	NA	Outpatient lumbar radiculography: comparison of iopamidol and iohexol and a literature review.	1989	Clinical Trial
